ID;JPtitle;ENtitle;JPdesc;ENdesc
A1;はじめての「編成」！;First Formation!;2隻以上の艦で編成される「艦隊」を編成せよ！;Have 2 ships in your main fleet.
A2;「駆逐隊」を編成せよ！;Form a Destroyer Squadron!;駆逐艦4隻以上で編成される「駆逐隊」を編成せよ！;Have 4 DD in your main fleet.
A3;「水雷戦隊」を編成せよ！;Form a Torpedo Squadron!;軽巡洋艦を旗艦とし、数隻の駆逐艦で構成される「水雷戦隊」を編成せよ！;Have a CL as a flagship and 5 DD in your main fleet.
A4;6隻編成の艦隊を編成せよ！;Form a Six Ship Fleet!;全6隻で構成される主力艦隊を編成せよ！;Have 6 ships in your main fleet.
A5;軽巡2隻を擁する隊を編成せよ！;Form a Squadron with Two CL!;軽巡洋艦2隻を擁する高速艦隊を編成せよ！;Have 2 CL in your main fleet.
A6;第2艦隊を編成せよ！;Form the Second Fleet!;二つ目の艦隊、第2艦隊の旗艦を指定して、第2艦隊を編成せよ！;Have a flagship in your second fleet.
A7;「重巡戦隊」を編成せよ！;Form a Heavy Cruiser Squadron!;重巡洋艦2隻を擁する重巡艦隊を編成せよ！;Have 2 CA in your main fleet.
A8;「天龍」型軽巡姉妹の全2艦を編成せよ！;Form the Tenryuu-class!;天龍型軽巡洋艦「天龍」「龍田」を同一艦隊に配属せよ！;Have Tenryuu (天龍) and Tatsuta (龍田) in your main fleet.
A9;「水上機母艦」を配備せよ！;Ready a Seaplane Carrier!;多数の水上偵察機を運用する「水上機母艦」を艦隊に配備せよ！;Have an AV in your main fleet.
A10;「第六駆逐隊」を編成せよ！;Form the Destroyer Division 6!;「暁」「響」「雷」「電」4隻による第六駆逐隊を編成せよ！;Have ONLY Akasuki (暁), Hibiki (響), Inazuma (雷) and Ikazuchi (電) in your main fleet.
A11;第2艦隊で空母機動部隊を編成せよ！;Form a Carrier Task Force in the Second Fleet!;第2艦隊に空母を配備して、空母機動部隊を編成せよ！;Have a CV/CVL and 3 DD in your second fleet.
A12;空母機動部隊を編成せよ！;Form a Carrier Task Force!;空母1隻以上を旗艦とし、その護衛艦艇と共に、空母機動部隊を編成せよ！;Have a CV/CVL as a flagship and 3 DD in your main fleet.
A13;戦艦と重巡による主力艦隊を編成せよ！;Form the Main Fleet with BB and CA!;戦艦1隻以上、重巡2隻以上を主力とした水上打撃艦隊を編成せよ！;Have a BB and 2 CA in your main fleet.
A14;「川内」型軽巡姉妹の全3艦を編成せよ！;Form the Sendai-class!;川内型軽巡洋艦、「川内」「神通」「那珂」を同一艦隊に編成せよ！;Have Sendai (川内), Jintsuu (神通) and Naka (那珂) in your main fleet.
