長門,Nagato
長門改,Nagato Kai
陸奥,Mutsu
陸奥改,Mutsu Kai
伊勢,Ise
伊勢改,Ise Kai
日向,Hyuuga
日向改,Hyuuga Kai
雪風,Yukikaze
雪風改,Yukikaze Kai
赤城,Akagi
赤城改,Akagi Kai
加賀,Kaga
加賀改,Kaga Kai
蒼龍,Souryuu
蒼龍改,Souryuu Kai
飛龍,Hiryuu
飛龍改,Hiryuu Kai
島風,Shimakaze
島風改,Shimakaze Kai
吹雪,Fubuki
吹雪改,Fubuki Kai
白雪,Shirayuki
白雪改,Shirayuki Kai
初雪,Hatsuyuki
初雪改,Hatsuyuki Kai
深雪,Miyuki
深雪改,Miyuki Kai
叢雲,Murakumo
叢雲改,Murakumo Kai
磯波,Isonami
磯波改,Isonami Kai
綾波,Ayanami
綾波改,Ayanami Kai
敷波,Shikinami
敷波改,Shikinami Kai
大井,Ooi
大井改,Ooi Kai
大井改二,Ooi Kai2
北上,Kitakami
北上改,Kitakami Kai
北上改二,Kitakami Kai2
金剛,Kongou
金剛改,Kongou Kai
金剛改二,Kongou Kai2
比叡,Hiei
比叡改,Hiei Kai
比叡改二,Hiei Kai2
榛名,Haruna
榛名改,Haruna Kai
霧島,Kirishima
霧島改,Kirishima Kai
鳳翔,Houshou
鳳翔改,Houshou Kai
扶桑,Fusou
扶桑改,Fusou Kai
山城,Yamashiro
山城改,Yamashiro Kai
天龍,Tenryuu
天龍改,Tenryuu Kai
龍田,Tatsuta
龍田改,Tatsuta Kai
龍驤,Ryuujou
龍驤改,Ryuujou Kai
睦月,Mutsuki
睦月改,Mutsuki Kai
如月,Kisaragi
如月改,Kisaragi Kai
皐月,Satsuki
皐月改,Satsuki Kai
文月,Fumizuki
文月改,Fumizuki Kai
長月,Nagatsuki
長月改,Nagatsuki Kai
菊月,Kikuzuki
菊月改,Kikuzuki Kai
三日月,Mikazuki
三日月改,Mikazuki Kai
望月,Mochizuki
望月改,Mochizuki Kai
球磨,Kuma
球磨改,Kuma Kai
多摩,Tama
多摩改,Tama Kai
木曾,Kiso
木曾改,Kiso Kai
木曾改二,Kiso Kai2
長良,Nagara
長良改,Nagara Kai
五十鈴,Isuzu
五十鈴改,Isuzu Kai
五十鈴改二,Isuzu Kai2
名取,Natori
名取改,Natori Kai
由良,Yura
由良改,Yura Kai
川内,Sendai
川内改,Sendai Kai
神通,Jintsuu
神通改,Jintsuu Kai
那珂,Naka
那珂改,Naka Kai
那珂改二,Naka Kai2
千歳,Chitose
千歳改,Chitose Kai
千歳甲,Chitose A
千歳航,Chitose CVL
千歳航改,Chitose CVL Kai
千歳航改二,Chitose CVL Kai2
千代田,Chiyoda
千代田改,Chiyoda Kai
千代田甲,Chiyoda A
千代田航,Chiyoda CVL
千代田航改,Chiyoda CVL Kai
千代田航改二,Chiyoda CVL Kai2
最上,Mogami
最上改,Mogami Kai
古鷹,Furutaka
古鷹改,Furutaka Kai
加古,Kako
加古改,Kako Kai
青葉,Aoba
青葉改,Aoba Kai
妙高,Myoukou
妙高改,Myoukou Kai
那智,Nachi
那智改,Nachi Kai
足柄,Ashigara
足柄改,Ashigara Kai
羽黒,Haguro
羽黒改,Haguro Kai
高雄,Takao
高雄改,Takao Kai
愛宕,Atago
愛宕改,Atago Kai
摩耶,Maya
摩耶改,Maya Kai
鳥海,Choukai
鳥海改,Choukai Kai
利根,Tone
利根改,Tone Kai
筑摩,Chikuma
筑摩改,Chikuma Kai
飛鷹,Hiyou
飛鷹改,Hiyou Kai
隼鷹,Junyou
隼鷹改,Junyou Kai
朧,Oboro
朧改,Oboro Kai
曙,Akebono
曙改,Akebono Kai
漣,Sazanami
漣改,Sazanami Kai
潮,Ushio
潮改,Ushio Kai
暁,Akatsuki
暁改,Akatsuki Kai
響,Hibiki
響改,Hibiki Kai
Верный,Vérnyj
雷,Ikazuchi
雷改,Ikazuchi Kai
電,Inazuma
電改,Inazuma Kai
初春,Hatsuharu
初春改,Hatsuharu Kai
子日,Nenohi
子日改,Nenohi Kai
若葉,Wakaba
若葉改,Wakaba Kai
初霜,Hatsushimo
初霜改,Hatsushimo Kai
白露,Shiratsuyu
白露改,Shiratsuyu Kai
時雨,Shigure
時雨改,Shigure Kai
時雨改二,Shigure Kai2
村雨,Murasame
村雨改,Murasame Kai
夕立,Yuudachi
夕立改,Yuudachi Kai
夕立改二,Yuudachi Kai2
五月雨,Samidare
五月雨改,Samidare Kai
涼風,Suzukaze
涼風改,Suzukaze Kai
朝潮,Asashio
朝潮改,Asashio Kai
大潮,Ooshio
大潮改,Ooshio Kai
満潮,Michisio
満潮改,Michisio Kai
荒潮,Arashio
荒潮改,Arashio Kai
霰,Arare
霰改,Arare Kai
霞,Kasumi
霞改,Kasumi Kai
陽炎,Kagerou
陽炎改,Kagerou Kai
不知火,Shiranui
不知火改,Shiranui Kai
黒潮,Kuroshio
黒潮改,Kuroshio Kai
祥鳳,Shouhou
